종목코드,종목명,시장구분,업종,현재가,시가총액,PER,PBR,EPS,BPS,ROE프록시,W52고가,W52저가,선행PER,선행EPS,직전EPS,추정매출,추정영업이익,추정순이익,추정매출YoY,추정영업이익YoY,직전영업이익,직전순이익,직전매출,추정연도,실적연도,추정기준일,투자의견,추정이상,_price_ok,_est_ok
086280,현대글로비스,KOSPI,운송·창고,197000.0,147750.0,8.52,1.43,23117.0,138016.0,16.749507303501044,296000.0,133700.0,8.644938761360194,22787.9,23117.0,319030.0,22002.0,17091.0,7.9,6.1000000000000005,20730.0,17337.0,295664.0,2026.12E,2025.12,20260601,매수,False,True,True
003670,포스코퓨처엠,KOSPI,전기·전자,162200.0,144271.0,420.21,3.55,386.0,45731.0,0.8440663882268046,299500.0,122400.0,3071.9696969696965,52.800000000000004,51.0,37628.0,550.0,47.0,28.0,67.5,328.0,323.0,29387.0,2026.12E,2025.12,20260504,중립,False,True,True
278470,에이피알,KOSPI,화학,382500.0,143201.0,49.65,32.12,7704.0,11910.0,64.68513853904282,473000.0,133900.0,28.338581218744213,13497.5,7765.0,27182.0,6628.0,5053.0,78.0,81.30000000000001,3655.0,2897.0,15273.0,2026.12E,2025.12,20260630,매수,True,True,True
272210,한화시스템,KOSPI,전기·전자,75500.0,142634.0,58.89,2.91,1282.0,25933.0,4.943508271314542,184000.0,44750.0,271.38749101365926,278.2,1290.0,44404.0,2256.0,520.0,21.200000000000003,88.10000000000001,1199.0,2422.0,36642.0,2026.12E,2025.12,20260529,매수,True,True,True
307950,현대오토에버,KOSPI,IT 서비스,505000.0,138491.0,75.89,7.5,6654.0,67357.0,9.878705999376457,1066000.0,146100.0,57.80346820809248,8736.5,6654.400000000001,47167.0,3021.0,2398.0,10.9,18.3,2553.0,1825.0,42521.0,2026.12E,2025.12,20260605,매수,False,True,True
030200,KT,KOSPI,통신,53700.0,135336.0,7.82,0.73,6869.0,73231.0,9.379907416258142,69400.0,48100.0,8.42802435808902,6371.6,7119.0,279423.0,21854.0,15320.0,-1.1,-11.5,24691.0,17310.0,282442.0,2026.12E,2025.12,20260512,매수,False,True,True
071050,한국금융지주,KOSPI,금융,242000.0,134857.0,7.38,1.18,32808.0,205667.0,15.952000077795661,300500.0,121800.0,,,,,,,,,,,,,,,,False,True,True
000720,현대건설,KOSPI,건설,115300.0,128393.0,34.73,1.57,3320.0,73523.0,4.515593759775852,198400.0,54100.0,22.89424566141138,5036.200000000001,3319.0,260976.0,8433.0,5662.0,-16.0,29.1,6530.0,3731.0,310629.0,2026.12E,2025.12,20260429,매수,False,True,True
010950,S-Oil,KOSPI,화학,110200.0,124066.0,72.6,1.44,1518.0,76339.0,1.9884986704043806,177100.0,57600.0,4.8065599511493,22927.0,1519.0,495838.0,36616.0,26731.0,44.800000000000004,1454.0,2356.0,1770.0,342470.0,2026.12E,2025.12,20260616,매수,True,True,True
247540,에코프로비엠,KOSDAQ,전기·전자,124400.0,121701.0,308.68,7.04,403.0,17677.0,2.2797986083611472,260000.0,99900.0,236.36709101273036,526.3000000000001,403.0,28874.0,1055.0,515.0,14.100000000000001,-26.400000000000002,1433.0,394.0,25316.0,2026.12E,2025.12,20260430,중립,False,True,True
086520,에코프로,KOSDAQ,금융,87300.0,118533.0,-79.15,5.98,-1103.0,14608.0,-7.55065717415115,190000.0,44500.0,,,,,,,,,,,,,,,,False,True,True
006260,LS,KOSPI,금융,374000.0,116688.0,44.22,2.04,8458.0,182946.0,4.623222152985034,604000.0,148600.0,20.66835034511724,18095.3,9903.0,375521.0,15664.0,4944.0,17.8,48.800000000000004,10526.0,2708.0,318700.0,2026.12E,2025.12,20260401,매수,False,True,True
005940,NH투자증권,KOSPI,증권,31400.0,111892.0,10.87,1.25,2888.0,25187.0,11.46623258029936,42600.0,18340.0,,,,35043.0,20229.0,14616.0,30.900000000000002,42.400000000000006,14206.0,10316.0,26762.0,2026.12E,2025.12,20260424,매수,False,True,True
259960,크래프톤,KOSPI,IT 서비스,235500.0,108655.0,15.25,1.49,15438.0,157747.0,9.786556955124345,372000.0,199300.0,8.014893066692078,29382.800000000003,16454.0,46867.0,14939.0,13121.0,40.900000000000006,41.7,10544.0,7348.0,33266.0,2026.12E,2025.12,20260520,매수,False,True,True
016360,삼성증권,KOSPI,증권,119100.0,106356.0,10.56,1.32,11279.0,90348.0,12.483950945233985,163000.0,65200.0,,,,33875.0,21924.0,15927.0,34.4,59.400000000000006,13757.0,10072.0,25201.0,2026.12E,2025.12,20260511,매수,False,True,True
003490,대한항공,KOSPI,운송·창고,28850.0,106232.0,13.67,0.97,2111.0,29659.0,7.117569709025928,31200.0,21000.0,13.969591322874296,2065.2000000000003,3566.0,248032.0,12181.0,7628.0,38.800000000000004,-42.300000000000004,21102.0,13173.0,178707.0,2025.12E,2024.12,20251127,매수,False,True,True
323410,카카오뱅크,KOSPI,금융,22250.0,106159.0,0.0,0.0,0.0,0.0,,34800.0,19110.0,,,,,,,,,,,,,,,,False,True,True
443060,HD현대마린솔루션,KOSPI,일반서비스,216000.0,96840.0,35.92,11.74,6013.0,18396.0,32.68645357686454,287000.0,158000.0,27.068347577633524,7979.8,6013.0,23650.0,4238.0,3577.0,19.3,21.0,3501.0,2696.0,19827.0,2026.12E,2025.12,20260504,매수,False,True,True
005830,DB손해보험,KOSPI,보험,146800.0,96155.0,5.81,0.82,25263.0,179423.0,14.080134653862661,214000.0,118100.0,,,,,,,,,,,,,,20260223,매수,False,True,True
277810,레인보우로보틱스,KOSDAQ,기계·장비,492500.0,95544.0,6746.58,71.39,73.0,6899.0,1.0581243658501231,979000.0,249500.0,,,,,,,,,,,,,,,,False,True,True
028050,삼성E&A,KOSPI,일반서비스,48100.0,94276.0,15.27,1.99,3150.0,24187.0,13.023525034109232,67300.0,22900.0,13.942837265928459,3449.8,3150.0,109508.0,9110.0,6762.0,21.3,15.0,7921.0,6175.0,90288.0,2026.12E,2025.12,20260409,매수,False,True,True
039490,키움증권,KOSPI,증권,348500.0,91406.0,8.6,1.37,40504.0,254008.0,15.945954458127304,517000.0,190500.0,,,,31262.0,21447.0,16278.0,30.5,44.1,14882.0,11136.0,23962.0,2026.12E,2025.12,20260430,매수,False,True,True
036930,주성엔지니어링,KOSDAQ,기계·장비,192600.0,89523.0,255.1,14.9,755.0,12922.0,5.842748800495279,283000.0,26050.0,129.31381764468912,1489.4,781.0,3529.0,645.0,680.0,13.600000000000001,106.30000000000001,313.0,357.0,3107.0,2026.12E,2025.12,20260429,매수,True,True,True
180640,한진칼,KOSPI,금융,134000.0,89461.0,58.18,2.7,2303.0,49668.0,4.636788274140292,175900.0,93100.0,,,,,,,,,,,,,,,,False,True,True
352820,하이브,KOSPI,오락·문화,205000.0,88360.0,-36.14,2.67,-5673.0,76643.0,-7.401850136346437,405500.0,174600.0,38.3758587768397,5341.900000000001,-5690.0,42960.0,2696.0,2299.0,62.1,446.70000000000005,493.0,-2373.0,26499.0,2026.12E,2025.12,20260429,매수,True,True,True
047050,포스코인터내셔널,KOSPI,유통,49300.0,86730.0,14.12,1.25,3491.0,39358.0,8.86986127343869,91200.0,44850.0,,,,,,,,,,,,,,,,False,True,True
003230,삼양식품,KOSPI,음식료·담배,1111000.0,83692.0,21.49,6.67,51697.0,166650.0,31.02130213021302,1665000.0,981000.0,14.63135825361372,75932.8,52156.0,30303.0,7361.0,5720.0,28.8,40.400000000000006,5242.0,3894.0,23518.0,2026.12E,2025.12,20260612,매수,False,True,True
